test-0.0001-a,test-0.0001-a,test-0.0001-a
Test time,Strain,Stress
s,%,MPa
258.83,0.257637155,580.0097246
259.33,0.257668132,581.6479702
259.83,0.25813121,583.2034104
260.33,0.26054328,584.6737537
260.83,0.260696678,586.1715946
261.33,0.26267013,587.7180772
261.83,0.265144988,589.2481029
262.33,0.265268688,590.7433399
262.83,0.267067794,592.2938847
263.33,0.270861838,593.830264
263.83,0.270799259,595.4083064
264.33,0.27278768,596.9476542
264.83,0.273632123,598.4827316
265.33,0.275820719,600.0092159
265.83,0.277226706,601.4997137
266.33,0.277448663,602.9467256
266.83,0.281191882,604.4641482
267.33,0.28204073,606.0251609
267.83,0.283741281,607.5970059
268.33,0.282774804,609.1093768
268.83,0.285812991,610.5910212
269.33,0.288403306,612.0468345
269.83,0.289553503,613.5416549
270.33,0.290378277,615.0603274
270.83,0.292210741,616.5365035
271.33,0.293568819,618.0299177
271.83,0.295000011,619.5463508
272.33,0.295809668,621.0739809
272.83,0.298317764,622.5754152
273.33,0.29930397,624.0833595
273.83,0.299583626,625.547297
274.33,0.302772294,627.0036832
274.83,0.302771163,628.4269992
275.33,0.305642354,629.9367142
275.83,0.305847201,631.4759578
276.33,0.306980109,633.0522295
276.83,0.309744531,634.5363737
277.33,0.309773187,635.9718242
277.83,0.311584584,637.4356055
278.33,0.311890426,638.9623502
278.83,0.314568851,640.4501399
279.33,0.314132019,641.9044429
279.83,0.316763904,643.4087416
280.33,0.318339684,644.9069992
280.83,0.319659376,646.4371811
281.33,0.321555193,647.9043476
281.83,0.322521551,649.3885959
282.33,0.323978006,650.8691987
282.83,0.325135731,652.3268869
283.33,0.326873211,653.6959888
283.83,0.328418074,655.1987251
284.33,0.33035555,656.7451557
284.83,0.332611278,658.2930444
285.33,0.33281184,659.747087
285.83,0.335882045,661.1389995
286.33,0.336041156,662.6021559
286.83,0.337157012,664.0982261
287.33,0.339713642,665.5712775
287.83,0.341847812,667.0049572
288.33,0.342758644,668.4799876
288.83,0.344744564,669.9030433
289.33,0.347354281,671.3400561
289.83,0.348651179,672.7854536
290.33,0.350541491,674.2386108
290.83,0.352617218,675.632346
291.33,0.353280769,677.0264979
291.83,0.355945357,678.3886733
292.33,0.356592631,679.8479759
292.83,0.35973461,681.3142049
293.33,0.362287461,682.8182953
293.83,0.36328179,684.2203632
294.33,0.364573659,685.5927982
294.83,0.366315751,686.9610668
295.33,0.369395598,688.3762586
295.83,0.370210404,689.7835343
296.33,0.371436867,691.1745614
296.83,0.373565383,692.5680363
297.33,0.375276826,693.9851029
297.83,0.376709089,695.3650893
298.33,0.378727236,696.7356494
298.83,0.380262696,698.1189168
299.33,0.381927123,699.4701036
299.83,0.383103684,700.8018649
300.33,0.384804116,702.0998271
300.83,0.386560968,703.49601
301.33,0.389256444,704.92193
301.83,0.3908438,706.3476937
302.33,0.392435709,707.6869024
302.83,0.39347259,709.0148099
303.33,0.394836352,710.3371971
303.83,0.397594943,711.7191625
304.33,0.399913457,713.0489969
304.83,0.401431896,714.366072
305.33,0.403330242,715.7287682
305.83,0.405216269,717.1120877
306.33,0.406880398,718.4423908
306.83,0.407452565,719.7759229
307.33,0.409658598,721.090394
307.83,0.411266754,722.3461723
308.33,0.413648324,723.655748
308.83,0.416316632,724.9021
309.33,0.417467185,726.2786492
309.83,0.419702856,727.6254093
310.33,0.421498928,728.9810749
310.83,0.424659475,730.259195
311.33,0.426116198,731.5084113
311.83,0.428441825,732.7668456
312.33,0.430469405,734.0290816
312.83,0.432659876,735.2972026
313.33,0.435421918,736.5340762
313.83,0.437880052,737.7951665
314.33,0.439179629,739.0201661
314.83,0.441932268,740.261831
315.33,0.444769208,741.4783938
315.83,0.446980747,742.717611
316.33,0.448401196,743.8789182
316.83,0.451968015,745.0497558
317.33,0.454191903,746.232936
317.83,0.456579245,747.4973594
318.33,0.45850958,748.7419928
318.83,0.460721773,749.9754813
319.33,0.462223756,751.1335595
319.83,0.465354458,752.2805971
320.33,0.467487586,753.44706
320.83,0.470536813,754.6411769
321.33,0.47267015,755.8070149
321.83,0.47465256,756.9660826
322.33,0.476932985,758.1390555
322.83,0.479401296,759.3327557
323.33,0.481707581,760.4907298
323.83,0.482036157,761.5984478
324.33,0.486073702,762.7204874
324.83,0.48870041,763.8344549
325.33,0.489766632,764.9291531
325.83,0.492508231,765.9943227
326.33,0.494361347,767.1631812
326.83,0.497139815,768.3650578
327.33,0.499339331,769.5085019
327.83,0.502269084,770.5664325
328.33,0.504397124,771.6180615
328.83,0.505336849,772.6795855
329.33,0.509230311,773.7771481
329.83,0.512670872,774.8296625
330.33,0.514530445,775.8795729
330.83,0.517186671,776.9602619
331.33,0.520411435,778.0552726
331.83,0.522525191,779.1319516
332.33,0.524977464,780.1856637
332.83,0.528385887,781.2357825
333.33,0.529562359,782.2267396
333.83,0.533316201,783.2248836
334.33,0.535438944,784.2026126
334.83,0.538667219,785.2599182
335.33,0.541205072,786.3062352
335.83,0.543327815,787.3367202
336.33,0.546965962,788.2778899
336.83,0.550495497,789.2196845
337.33,0.553143986,790.1675203
337.83,0.556134384,791.1451973
338.33,0.557261816,792.1077193
338.814775,0.561277876,793.0275887
339.32,0.563206902,793.9956311
339.82,0.566986276,794.9866924
340.308775,0.570983054,795.9223938
340.81,0.573379145,796.8524707
341.31,0.575442077,797.770986
341.81,0.579049276,798.6671075
342.31,0.581405196,799.5617187
342.81,0.584482424,800.445862
343.31,0.587505375,801.3935415
343.81,0.590553263,802.3527826
344.31,0.593626206,803.2809846
344.81,0.596052173,804.1502854
345.31,0.598774281,805.0132847
345.81,0.601435329,805.8724822
346.31,0.604906301,806.7390749
346.81,0.607895091,807.5937937
347.31,0.611399392,808.4751247
347.81,0.613318776,809.3710899
348.307775,0.617352393,810.2789291
348.81,0.620027128,811.1553647
349.31,0.622547842,811.9743574
349.81,0.624966726,812.8265763
350.27,0.628980645,813.5834909
350.77,0.632718358,814.3879535
351.27,0.634888773,815.1571587
351.764775,0.638895549,815.9971912
352.21,0.642931428,816.7611364
352.71,0.646135064,817.6178862
353.21,0.647496802,818.396726
353.71,0.651394192,819.1797842
354.21,0.653593054,819.9706021
354.71,0.656439189,820.7912092
355.21,0.65996307,821.5754131
355.71,0.663453682,822.3569089
356.21,0.666652199,823.151164
356.71,0.67028136,823.9574494
357.21,0.673744357,824.7767024
357.71,0.676563235,825.5418975
358.21,0.679678612,826.2948541
358.71,0.683189994,827.0108867
359.21,0.686745655,827.7435846
359.71,0.690079805,828.4648772
359.84,0.690784093,828.6536632
360.34,0.694521926,829.4386483
360.84,0.698557388,830.2126968
361.34,0.701435185,830.9390932
361.84,0.704236149,831.6240347
362.34,0.707917801,832.3227251
362.84,0.71088963,833.019072
363.34,0.714623773,833.7162
363.84,0.718409039,834.3966107
364.34,0.721089666,835.1044148
364.84,0.724983901,835.8245096
365.34,0.728489273,836.5758518
365.84,0.732547588,837.2779794
366.34,0.735170249,837.947141
366.84,0.738965751,838.6384883
367.34,0.742681742,839.2785378
367.84,0.745598997,839.9442623
368.34,0.749663085,840.5733752
368.84,0.753563094,841.2806066
369.34,0.7561948,842.0002326
369.84,0.760330186,842.6907987
370.34,0.763661896,843.2676245
370.84,0.767336406,843.9039764
371.34,0.770836481,844.5891263
371.84,0.774610141,845.2612044
372.34,0.777790507,845.8602678
372.84,0.781480967,846.5124518
373.34,0.784914684,847.1768742
373.84,0.788555747,847.8614512
374.34,0.79298043,848.4960325
374.84,0.796564063,849.1383735
375.34,0.800393011,849.7692051
375.84,0.803585399,850.369883
376.34,0.807082855,850.9491044
376.84,0.810423492,851.5539486
377.34,0.814317073,852.2180066
377.84,0.817644498,852.8695655
378.34,0.821736796,853.472587
378.84,0.825442015,854.0070726
379.34,0.828598218,854.5670769
379.84,0.832571429,855.1708275
380.34,0.836280338,855.7614542
380.84,0.84019094,856.3438003
381.34,0.843933712,856.9479675
381.84,0.846516023,857.5092217
382.34,0.850860719,858.1304708
382.84,0.854692525,858.7294822
383.34,0.858253423,859.3082349
383.84,0.861257984,859.8630313
384.34,0.865777949,860.3765291
384.84,0.868915227,860.8857044
385.34,0.873583442,861.4433652
385.84,0.877093931,862.0313879
386.34,0.881103267,862.6211813
386.84,0.885325067,863.1499904
387.34,0.888707899,863.642865
387.84,0.892300756,864.1744342
388.34,0.896701753,864.7276682
388.84,0.900535463,865.2620497
389.34,0.904349891,865.770548
389.84,0.908715655,866.3222197
390.34,0.913168905,866.8937855
390.84,0.916626844,867.4655596
391.34,0.920492275,867.9857756
391.84,0.92451149,868.529323
392.34,0.928421556,869.0553198
392.84,0.931900325,869.5684531
393.34,0.936260555,870.0355486
393.84,0.939915247,870.5396202
394.34,0.943600231,871.0857715
394.84,0.947538567,871.6615036
395.34,0.950748987,872.1533887
395.84,0.955408512,872.5940282
396.34,0.958439439,873.0831011
396.84,0.962098594,873.5613415
397.34,0.966916486,874.0633299
397.84,0.970482443,874.5006884
398.34,0.973989838,875.0039788
398.84,0.977449919,875.535496
399.34,0.981000819,876.0772206
399.84,0.985024497,876.5363481
400.34,0.989545058,877.0227649
400.84,0.992703284,877.4853296
401.34,0.996575023,877.9333122
401.84,1.000151395,878.3904607
402.34,1.003918747,878.884481
402.84,1.008642369,879.4081863
403.34,1.012895474,879.9082478
403.84,1.016661516,880.3707084
404.34,1.019699822,880.8070253
404.84,1.025440418,881.2633405
405.34,1.027830856,881.7003866
405.84,1.031230887,882.1354536
406.34,1.037454856,882.570729
406.84,1.041404082,883.0240236
407.34,1.045381756,883.5014829
407.84,1.049398115,883.9785255
408.34,1.053444587,884.4154674
408.84,1.057527601,884.8663664
409.34,1.061767136,885.2778938
409.84,1.066428269,885.6755682
410.34,1.069933759,886.089387
410.84,1.073645763,886.5586178
411.34,1.079032608,887.030765
411.84,1.081940103,887.5285351
412.34,1.086454117,887.9254804
412.84,1.090487734,888.2829499
413.34,1.094372685,888.6756247
413.84,1.097393732,889.1006926
414.34,1.102011776,889.5243023
414.84,1.106300947,889.8875004
415.34,1.110338016,890.306423
415.84,1.113523916,890.7512809
416.34,1.116741835,891.2285318
416.84,1.120372781,891.6080828
417.34,1.124830614,892.0109651
417.84,1.129146089,892.4164513
418.34,1.133189586,892.8025642
418.84,1.136810652,893.1828442
419.34,1.140688938,893.6085371
419.84,1.144197523,894.0621442
