Tiempo,Galga ex,Axial Force,Axial Force,Axial Displacement
38.039063,-1.2154299,-5.3321018,-142.1893813,-0.62565041
38.138672,-1.2122252,-5.118814,-136.5017067,-0.63243127
38.238281,-1.2086159,-4.966166,-132.4310933,-0.62601721
38.337891,-1.2174263,-5.3367567,-142.313512,-0.62955445
38.4375,-1.2152561,-5.203999,-138.7733067,-0.63949138
38.537109,-1.2079948,-4.8876824,-130.3381973,-0.63563919
38.636719,-1.2166026,-5.2654724,-140.4125973,-0.63588405
38.736328,-1.2199608,-5.3195086,-141.8535627,-0.64536238
38.835938,-1.213122,-5.0012031,-133.365416,-0.64481163
38.935547,-1.2175845,-5.2060404,-138.827744,-0.64235115
39.035156,-1.2220064,-5.3194985,-141.8532933,-0.65191823
39.134766,-1.2137526,-4.9419885,-131.78636,-0.6532352
39.234375,-1.218426,-5.1542511,-137.446696,-0.65048891
39.333984,-1.2254133,-5.4081588,-144.217568,-0.66087544
39.433594,-1.2185385,-5.058042,-134.88112,-0.65976274
39.533203,-1.2247092,-5.3501105,-142.6696133,-0.65724516
39.632813,-1.2267762,-5.244854,-139.8627733,-0.67001462
39.732422,-1.2181532,-4.8736663,-129.9644347,-0.66413647
39.832031,-1.2263777,-5.2461758,-139.8980213,-0.66663575
39.931641,-1.2303517,-5.3703604,-143.2096107,-0.67412215
40.03125,-1.2265499,-5.1804571,-138.1455227,-0.67687452
40.130859,-1.2253388,-5.1365547,-136.974792,-0.67322397
40.230469,-1.2295687,-5.3676162,-143.136432,-0.67876059
40.330078,-1.2202431,-5.0045238,-133.453968,-0.68793273
40.429688,-1.2191223,-4.9847445,-132.92652,-0.68050176
40.529297,-1.2285676,-5.3693018,-143.1813813,-0.68817115
40.628906,-1.22592,-5.1940169,-138.5071173,-0.69383514
40.728516,-1.223542,-5.1048999,-136.130664,-0.68803358
40.828125,-1.2338564,-5.49612,-146.5632,-0.69313169
40.927734,-1.2246785,-5.103838,-136.1023467,-0.70224851
41.027344,-1.2209626,-4.9789729,-132.7726107,-0.6950174
41.126953,-1.231499,-5.4234133,-144.6243547,-0.701756
41.226563,-1.2312772,-5.3023987,-141.3972987,-0.70889062
41.326172,-1.22728,-5.1269898,-136.719728,-0.70332986
41.425781,-1.2358189,-5.5010734,-146.6952907,-0.70687652
41.525391,-1.3299435,-5.2896252,-141.056672,-0.71693969
41.625,-1.3231461,-4.9647036,-132.392096,-0.71162003
41.724609,-1.3317631,-5.3518715,-142.7165733,-0.71429026
41.824219,-1.3702407,-5.4142752,-144.380672,-0.72305453
41.923828,-1.3689222,-5.1162887,-136.4343653,-0.7247926
42.023438,-1.3722281,-5.2677884,-140.4743573,-0.72060478
42.123047,-1.3855796,-5.4381838,-145.0182347,-0.72891021
42.222656,-1.3818505,-5.1035886,-136.095696,-0.73306584
42.322266,-1.382435,-5.1538877,-137.4370053,-0.72830504
42.421875,-1.3937837,-5.5256109,-147.349624,-0.73628116
42.521484,-1.3924838,-5.3011155,-141.36308,-0.73918438
42.621094,-1.3901486,-5.2065887,-138.8423653,-0.73595411
42.720703,-1.4005783,-5.5974956,-149.2665493,-0.7401368
42.820313,-1.3953588,-5.2601089,-140.2695707,-0.75022268
42.919922,-1.3898234,-5.0454707,-134.5458853,-0.74343103
43.019531,-1.3996468,-5.4754314,-146.011504,-0.7479381
43.119141,-1.4018792,-5.4872241,-146.325976,-0.75571829
43.21875,-1.398013,-5.2749081,-140.664216,-0.75548822
43.318359,-1.4005834,-5.4155374,-144.4143307,-0.75189704
43.417969,-1.4077933,-5.5093455,-146.91588,-0.76107252
43.517578,-1.399812,-5.1272154,-136.725744,-0.76467228
43.617188,-1.4021254,-5.2494669,-139.985784,-0.76037705
43.716797,-1.4107538,-5.5736647,-148.6310587,-0.76850045
43.816406,-1.4076043,-5.3865004,-143.6400107,-0.77292687
43.916016,-1.404742,-5.2671585,-140.45756,-0.76940089
44.015625,-1.4139117,-5.6485071,-150.626856,-0.7728641
44.115234,-1.4055723,-5.3209572,-141.892192,-0.78373116
44.214844,-1.3991333,-5.0666623,-135.1109947,-0.77423745
44.314453,-1.4099048,-5.5321684,-147.5244907,-0.78103715
44.414063,-1.4103994,-5.4746995,-145.9919867,-0.78911513
44.513672,-1.4060338,-5.252172,-140.05792,-0.78554225
44.613281,-1.4126322,-5.5849099,-148.9309307,-0.7862516
44.712891,-1.4103702,-5.5006676,-146.6844693,-0.79757643
44.8125,-1.4022222,-5.1037445,-136.0998533,-0.79370761
44.912109,-1.409238,-5.4552746,-145.4739893,-0.79469323
45.011719,-1.4131533,-5.5859389,-148.9583707,-0.80317593
45.111328,-1.4085439,-5.3318462,-142.1825653,-0.80276304
45.210938,-1.4107165,-5.465847,-145.75592,-0.79835731
45.310547,-1.4125227,-5.5257578,-147.3535413,-0.81083852
45.410156,-1.4045657,-5.154388,-137.4503467,-0.81138808
45.509766,-1.4077666,-5.3212113,-141.898968,-0.80821353
45.609375,-1.4145674,-5.6187558,-149.833488,-0.81574583
45.708984,-1.4117514,-5.4513288,-145.368768,-0.82053381
45.808594,-1.4094272,-5.3424764,-142.4660373,-0.81555229
45.908203,-1.4175032,-5.7236037,-152.629432,-0.81793964
46.007813,-1.4112964,-5.4539413,-145.4384347,-0.8324424
46.107422,-1.4046918,-5.1771855,-138.05828,-0.82306594
46.207031,-1.4141071,-5.6036859,-149.431624,-0.82928205
46.306641,-1.4145361,-5.5853252,-148.9420053,-0.83548743
46.40625,-1.4114116,-5.4247723,-144.6605947,-0.83505386
46.505859,-1.41476,-5.6009283,-149.358088,-0.83256316
46.605469,-1.4171971,-5.6574192,-150.864512,-0.84236395
46.705078,-1.4086925,-5.2495975,-139.9892667,-0.84385616
46.804688,-1.4122834,-5.4383092,-145.0215787,-0.84087646
46.904297,-1.4189143,-5.7293839,-152.7835707,-0.84755057
47.003906,-1.4160134,-5.5442853,-147.847608,-0.85088229
47.103516,-1.4151392,-5.5155478,-147.0812747,-0.8469733
47.203125,-1.4224881,-5.7846103,-154.2562747,-0.85374165
47.302734,-1.4184166,-5.3299685,-142.1324933,-0.86270159
47.402344,-1.4181266,-5.3537107,-142.7656187,-0.85414267
47.501953,-1.4269495,-5.7148433,-152.3958213,-0.863998
47.601563,-1.4267436,-5.5651889,-148.4050373,-0.86754614
47.701172,-1.4245714,-5.4508748,-145.3566613,-0.86336792
47.800781,-1.433136,-5.8010778,-154.695408,-0.86548853
47.900391,-1.5439185,-5.5666976,-148.4452693,-0.87713617
48.00,-1.5375577,-5.2235069,-139.2935173,-0.87136102
48.099609,-1.544633,-5.5672817,-148.4608453,-0.87289709
48.199219,-1.5542796,-5.7455497,-153.2146587,-0.88116026
48.298828,-1.5553566,-5.5781817,-148.751512,-0.88374734
48.398438,-1.5538216,-5.4918795,-146.45012,-0.88115144
48.498047,-1.564013,-5.8639712,-156.3725653,-0.88352084
48.597656,-1.5781459,-5.51406,-147.0416,-0.896236
48.697266,-1.5726974,-5.2761168,-140.696448,-0.88856852
48.796875,-1.5827471,-5.7267971,-152.7145893,-0.89188385
48.896484,-1.5870234,-5.7134418,-152.358448,-0.90016752
48.996094,-1.5827656,-5.4681964,-145.8185707,-0.89730954
49.095703,-1.5893642,-5.7919469,-154.4519173,-0.89604688
49.195313,-1.5895313,-5.663301,-151.02136,-0.90915358
49.294922,-1.5815178,-5.2589207,-140.2378853,-0.90648055
49.394531,-1.5875452,-5.5678167,-148.475112,-0.9048838
49.494141,-1.5933349,-5.7901845,-154.40492,-0.91360438
49.59375,-1.5905719,-5.6143827,-149.716872,-0.91599369
49.693359,-1.5886914,-5.5162396,-147.0997227,-0.91328841
49.792969,-1.5967352,-5.8938131,-157.1683493,-0.91629958
49.892578,-1.5925996,-5.6399322,-150.398192,-0.92617631
49.992188,-1.5861759,-5.3329549,-142.2121307,-0.92112273
50.091797,-1.5939987,-5.7332072,-152.8855253,-0.92334503
50.191406,-1.5971909,-5.828495,-155.4265333,-0.93060923
50.291016,-1.5941226,-5.6423755,-150.4633467,-0.9332723
50.390625,-1.593255,-5.6047339,-149.4595707,-0.92994267
50.490234,-1.600574,-5.948391,-158.62376,-0.93405074
50.589844,-1.5920334,-5.5803695,-148.8098533,-0.9445774
50.689453,-1.5879327,-5.4166484,-144.4439573,-0.93638533
50.789063,-1.5963926,-5.8161325,-155.0968667,-0.94231266
50.888672,-1.5973903,-5.8381319,-155.6835173,-0.94983447
50.988281,-1.5945137,-5.6637392,-151.0330453,-0.94956231
51.087891,-1.5952233,-5.7187762,-152.5006987,-0.94711488
51.1875,-1.5962305,-5.8739753,-156.6393413,-0.95360661
51.287109,-1.5881991,-5.4717474,-145.913264,-0.96169084
51.386719,-1.5878923,-5.5000272,-146.667392,-0.95388788
51.486328,-1.5957015,-5.8558226,-156.1552693,-0.96245229
51.585938,-1.5954123,-5.805099,-154.80264,-0.96637374
51.685547,-1.5937057,-5.6882782,-151.6874187,-0.96670878
51.785156,-1.5964048,-5.8557911,-156.1544293,-0.96300101
51.884766,-1.5993155,-5.8575807,-156.202152,-0.97521418
51.984375,-1.590988,-5.4570742,-145.5219787,-0.97539371
52.083984,-1.5952829,-5.6790862,-151.4422987,-0.97218329
52.183594,-1.602036,-5.9520869,-158.7223173,-0.98043853
52.283203,-1.6000013,-5.7783303,-154.088808,-0.98341608
52.382813,-1.5981293,-5.6850872,-151.6023253,-0.98149133
52.482422,-1.6053457,-6.0234213,-160.624568,-0.98263025
52.582031,-1.6029265,-5.7548156,-153.4617493,-0.9955833
52.681641,-1.5964506,-5.4825044,-146.2001173,-0.986996
52.78125,-1.6057587,-5.9132299,-157.6861307,-0.99364102
52.880859,-1.6065822,-5.8741922,-156.6451253,-0.99992174
52.980469,-1.6038812,-5.717195,-152.4585333,-0.99674779
53.080078,-1.6089078,-5.9799113,-159.4643013,-0.99631339
53.179688,-1.6141716,-5.8813028,-156.8347413,-1.0077443
53.279297,-1.6068231,-5.5111165,-146.9631067,-1.0050864
53.378906,-1.6134033,-5.830936,-155.4916267,-1.0045004
53.478516,-1.6236842,-6.0110164,-160.2937707,-1.0142623
53.578125,-1.6241798,-5.790462,-154.41232,-1.0155059
53.677734,-1.6235528,-5.7508469,-153.3559173,-1.0131496
53.777344,-1.6378353,-6.0899963,-162.3999013,-1.0169868
53.876953,-1.7038302,-5.7453218,-153.2085813,-1.0282429
53.976563,-1.6993487,-5.5251088,-147.3362347,-1.0199398
54.076172,-1.7090615,-5.9452019,-158.5387173,-1.0248648
54.175781,-1.7162716,-5.9537568,-158.766848,-1.0313841
54.275391,-1.7141328,-5.7419014,-153.1173707,-1.0318402
54.375,-1.7176477,-5.9319696,-158.185856,-1.0290155
54.474609,-1.7589614,-5.9402628,-158.407008,-1.0388305
54.574219,-1.7551147,-5.5448751,-147.863336,-1.0399241
54.673828,-1.7582831,-5.7255297,-152.680792,-1.0363115
54.773438,-1.7669156,-6.0408549,-161.089464,-1.0455425
54.873047,-1.7638856,-5.7614717,-153.6392453,-1.0502287
54.972656,-1.7651892,-5.8546705,-156.1245467,-1.0436128
55.072266,-1.7748294,-6.0346079,-160.9228773,-1.0536878
55.171875,-1.7701097,-5.6886458,-151.6972213,-1.0558708
55.271484,-1.7711498,-5.7662559,-153.766824,-1.0497316
55.371094,-1.7792575,-6.104044,-162.7745067,-1.0592031
55.470703,-1.7742438,-5.8726087,-156.6028987,-1.0665963
55.570313,-1.7705706,-5.6759386,-151.3583627,-1.0632721
